"State","District","WholeYear",""
"Andaman and Nicobar Islands","NICOBARS","1",""
"Andaman and Nicobar Islands","NORTH AND MIDDLE ANDAMAN","1",""
"Andaman and Nicobar Islands","SOUTH ANDAMANS","1",""
"Andhra Pradesh","ANANTAPUR","1",""
"Andhra Pradesh","EAST GODAVARI","1",""
"Andhra Pradesh","WEST GODAVARI","1",""
"Andhra Pradesh","CHITTOOR","1",""
"Andhra Pradesh","GUNTUR","1",""
"Andhra Pradesh","KADAPA","1",""
"Andhra Pradesh","KRISHNA","1",""
"Andhra Pradesh","KURNOOL","1",""
"Andhra Pradesh","PRAKASAM","1",""
"Andhra Pradesh","SPSR NELLORE","1",""
"Andhra Pradesh","SRIKAKULAM","1",""
"Andhra Pradesh","VISAKHAPATANAM","1",""
"Andhra Pradesh","VIZIANAGARAM","1",""
"Goa","NORTH GOA","1",""
"Goa","SOUTH GOA","1",""
"Karnataka","BAGALKOT","1",""
"Karnataka","BANGALORE RURAL","1",""
"Karnataka","BELGAUM","1",""
"Karnataka","BELLARY","1",""
"Karnataka","BENGALURU URBAN","1",""
"Karnataka","BIDAR","1",""
"Karnataka","BIJAPUR","1",""
"Karnataka","CHAMARAJANAGAR","1",""
"Karnataka","CHIKBALLAPUR","1",""
"Karnataka","CHIKMAGALUR","1",""
"Karnataka","CHITRADURGA","1",""
"Karnataka","DAKSHIN KANNAD","1",""
"Karnataka","DAVANGERE","1",""
"Karnataka","DHARWAD","1",""
"Karnataka","GADAG","1",""
"Karnataka","GULBARGA","1",""
"Karnataka","HASSAN","1",""
"Karnataka","HAVERI","1",""
"Karnataka","KODAGU","1",""
"Karnataka","KOLAR","1",""
"Karnataka","KOPPAL","1",""
"Karnataka","MANDYA","1",""
"Karnataka","MYSORE","1",""
"Karnataka","RAICHUR","1",""
"Karnataka","RAMANAGARA","1",""
"Karnataka","SHIMOGA","1",""
"Karnataka","TUMKUR","1",""
"Karnataka","UDUPI","1",""
"Karnataka","UTTAR KANNAD","1",""
"Karnataka","YADGIR","1",""
"Kerala","ALAPPUZHA","1",""
"Kerala","ERNAKULAM","1",""
"Kerala","IDUKKI","1",""
"Kerala","KANNUR","1",""
"Kerala","KASARAGOD","1",""
"Kerala","KOLLAM","1",""
"Kerala","KOTTAYAM","1",""
"Kerala","KOZHIKODE","1",""
"Kerala","MALAPPURAM","1",""
"Kerala","PALAKKAD","1",""
"Kerala","PATHANAMTHITTA","1",""
"Kerala","THIRUVANANTHAPURAM","1",""
"Kerala","THRISSUR","1",""
"Kerala","WAYANAD","1",""
"West Bengal","24 PARAGANAS NORTH","1",""
"West Bengal","24 PARAGANAS SOUTH","1",""
"West Bengal","ALIPURDUAR","1",""
"West Bengal","BANKURA","1",""
"West Bengal","BIRBHUM","1",""
"West Bengal","COOCHBEHAR","1",""
"West Bengal","DARJEELING","1",""
"West Bengal","DINAJPUR DAKSHIN","1",""
"West Bengal","DINAJPUR UTTAR","1",""
"West Bengal","HOOGHLY","1",""
"West Bengal","HOWRAH","1",""
"West Bengal","JALPAIGURI","1",""
"West Bengal","JHARGRAM","1",""
"West Bengal","KALIMPONG","1",""
"West Bengal","MALDAH","1",""
"West Bengal","MEDINIPUR EAST","1",""
"West Bengal","MEDINIPUR WEST","1",""
"West Bengal","MURSHIDABAD","1",""
"West Bengal","NADIA","1",""
"West Bengal","PASCHIM BARDHAMAN","1",""
"West Bengal","PURBA BARDHAMAN","1",""
"West Bengal","PURULIA","1",""
